timestamp,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,Delta_Aggregate,Theta_Aggregate,Alpha_Aggregate,Beta_Aggregate,Gamma_Aggregate
1751988911.53,816.337,813.1135,781.685,842.9304,0.5663131825000001,0.3216930625,0.49565520500000004,0.237116676,-0.08707653750000001
1751988911.5310001,789.34064,820.3663,784.5055,819.5604,0.5663131825000001,0.3216930625,0.49565520500000004,0.237116676,-0.08707653750000001
1751988911.5310001,789.7436,818.7546,776.8498,823.5897,0.5663131825000001,0.3216930625,0.49565520500000004,0.237116676,-0.08707653750000001
1751988911.5310001,828.8278,816.7399,774.43225,862.674,0.5663131825000001,0.3216930625,0.49565520500000004,0.237116676,-0.08707653750000001
1751988911.5310001,834.87177,817.9487,774.43225,861.8681,0.5663131825000001,0.3216930625,0.49565520500000004,0.237116676,-0.08707653750000001
1751988911.5310001,807.8755,828.022,778.86444,831.6484,0.5663131825000001,0.3216930625,0.49565520500000004,0.237116676,-0.08707653750000001
1751988911.5310001,790.54944,823.9927,779.2674,819.15753,0.5663131825000001,0.3216930625,0.49565520500000004,0.237116676,-0.08707653750000001
1751988911.5310001,810.293,814.7253,778.86444,855.42126,0.5663131825000001,0.3216930625,0.49565520500000004,0.237116676,-0.08707653750000001
1751988911.532,828.8278,817.5458,780.4762,880.0,0.5663131825000001,0.3216930625,0.49565520500000004,0.237116676,-0.08707653750000001
1751988911.532,803.44324,819.9634,777.6557,850.18317,0.5663131825000001,0.3216930625,0.49565520500000004,0.237116676,-0.08707653750000001
1751988911.532,766.3736,815.9341,772.4176,807.8755,0.5663131825000001,0.3216930625,0.49565520500000004,0.237116676,-0.08707653750000001
1751988911.532,801.02563,815.12823,771.2088,834.87177,0.5679587575,0.350014005,0.48236054000000006,0.231240640375,-0.0903734925
1751988911.535,840.5128,822.381,774.0293,881.2088,0.5679587575,0.350014005,0.48236054000000006,0.231240640375,-0.0903734925
1751988911.535,817.9487,827.619,778.86444,856.63007,0.5679587575,0.350014005,0.48236054000000006,0.231240640375,-0.0903734925
1751988911.535,777.6557,824.7985,778.0586,805.05493,0.5679587575,0.350014005,0.48236054000000006,0.231240640375,-0.0903734925
1751988911.535,808.2784,827.2161,775.64105,828.4249,0.5679587575,0.350014005,0.48236054000000006,0.231240640375,-0.0903734925
1751988911.535,854.21246,830.84247,780.4762,882.01465,0.5679587575,0.350014005,0.48236054000000006,0.231240640375,-0.0903734925
1751988911.535,840.10986,826.8132,784.90845,870.7326,0.5679587575,0.350014005,0.48236054000000006,0.231240640375,-0.0903734925
1751988911.536,790.54944,823.9927,778.86444,820.3663,0.5679587575,0.350014005,0.48236054000000006,0.231240640375,-0.0903734925
1751988911.536,777.25275,820.3663,770.80585,816.7399,0.5679587575,0.350014005,0.48236054000000006,0.231240640375,-0.0903734925
1751988911.536,823.5897,821.1722,771.6117,873.5531,0.5679587575,0.350014005,0.48236054000000006,0.231240640375,-0.0903734925
1751988911.536,830.4396,820.3663,772.8205,882.4176,0.5679587575,0.350014005,0.48236054000000006,0.231240640375,-0.0903734925
1751988911.536,790.14655,817.1429,772.01465,825.6044,0.5679587575,0.350014005,0.48236054000000006,0.231240640375,-0.0903734925
1751988911.536,777.25275,819.9634,772.01465,807.8755,0.5679587575,0.350014005,0.48236054000000006,0.231240640375,-0.0903734925
1751988911.537,824.7985,827.619,777.25275,865.89746,0.5679587575,0.350014005,0.48236054000000006,0.231240640375,-0.0903734925
1751988911.537,846.55676,827.2161,776.8498,901.3553,0.5679587575,0.350014005,0.48236054000000006,0.231240640375,-0.0903734925
1751988911.537,794.9817,817.9487,773.6264,835.2747,0.5679587575,0.350014005,0.48236054000000006,0.231240640375,-0.0903734925
1751988911.537,768.3883,817.9487,777.25275,790.9524,0.5679587575,0.350014005,0.48236054000000006,0.231240640375,-0.0903734925
1751988911.537,805.05493,819.15753,778.46155,849.3773,0.5679587575,0.350014005,0.48236054000000006,0.231240640375,-0.0903734925
1751988911.537,832.8571,817.1429,780.87915,887.25275,0.5679587575,0.350014005,0.48236054000000006,0.231240640375,-0.0903734925
1751988911.537,815.5311,820.7692,785.31134,862.27106,0.5679587575,0.350014005,0.48236054000000006,0.231240640375,-0.0903734925
