timestamp,TP9,AF7,AF8,TP10,Valence,Arousal
0.0,-8.790680499427786e-06,-3.125233648401618e-05,-4.3458170735484856e-05,-3.613412926573586e-05,3.9333,6.1333
0.00390625,-1.5138363412832838e-05,-3.027597792767224e-05,-4.492406086717022e-05,-3.466823913405051e-05,3.9333,6.1333
0.0078125,-1.6114721969176776e-05,-2.1972873307240406e-05,-2.050968776989395e-05,-3.515777070939193e-05,3.9333,6.1333
0.01171875,-1.4162004856488898e-05,-2.1972873307240406e-05,-1.318564630014496e-05,-4.101592204745556e-05,3.9333,6.1333
0.015625,-1.2209287743801027e-05,-3.125233648401618e-05,-3.613412926573586e-05,-4.443452929182879e-05,3.9333,6.1333
0.01953125,-8.790680499427786e-06,-2.5391480551613647e-05,-3.808684637842374e-05,-4.3458170735484856e-05,3.9333,6.1333
0.0234375,-1.3672473281147482e-05,-2.832055622064546e-05,-3.466823913405051e-05,-4.101592204745556e-05,3.9333,6.1333
0.02734375,-2.0020156194552533e-05,-3.4181412153047995e-05,-2.4904653570611125e-05,-3.5644597690394444e-05,3.9333,6.1333
0.03125,-2.1972873307240406e-05,-3.369188057770657e-05,-2.2949231863584342e-05,-3.5644597690394444e-05,3.9333,6.1333
0.03515625,-2.783372923964294e-05,-3.320505359670405e-05,-3.466823913405051e-05,-3.8576377953765166e-05,3.9333,6.1333
0.0390625,-3.027597792767224e-05,-3.662095624673839e-05,-3.5644597690394444e-05,-3.906320493476768e-05,3.9333,6.1333
0.04296875,-2.3438763438925767e-05,-3.7110487822079805e-05,-3.95527365101091e-05,-3.515777070939193e-05,3.9333,6.1333
0.046875,-1.758061210086214e-05,-4.003956349111162e-05,-3.320505359670405e-05,-3.7110487822079805e-05,3.9333,6.1333
0.05078125,-2.1972873307240406e-05,-3.2228695040360115e-05,-2.2949231863584342e-05,-3.271552202136263e-05,3.9333,6.1333
0.0546875,-2.2949231863584342e-05,-2.1972873307240406e-05,-2.783372923964294e-05,-3.027597792767224e-05,3.9333,6.1333
0.05859375,-2.3928295014267185e-05,-3.8576377953765166e-05,-4.296863916014344e-05,-3.662095624673839e-05,3.9333,6.1333
0.0625,-2.832055622064546e-05,-3.906320493476768e-05,-3.95527365101091e-05,-3.125233648401618e-05,3.9333,6.1333
0.06640625,-2.2949231863584342e-05,-2.0020156194552533e-05,-3.906320493476768e-05,-3.271552202136263e-05,3.9333,6.1333
0.0703125,-2.0020156194552533e-05,-2.3438763438925767e-05,-2.4415121995269707e-05,-3.7110487822079805e-05,3.9333,6.1333
0.07421875,-2.5391480551613647e-05,-2.2949231863584342e-05,-2.050968776989395e-05,-3.271552202136263e-05,3.9333,6.1333
0.078125,-2.4904653570611125e-05,-2.5391480551613647e-05,-3.7110487822079805e-05,-3.369188057770657e-05,3.9333,6.1333
0.08203125,-2.5391480551613647e-05,-2.3928295014267185e-05,-3.369188057770657e-05,-3.271552202136263e-05,3.9333,6.1333
0.0859375,-2.3438763438925767e-05,-1.7091080525520716e-05,-2.832055622064546e-05,-2.881008779598688e-05,3.9333,6.1333
0.08984375,-3.173916346501869e-05,-1.562519039383536e-05,-2.2462404882581827e-05,-2.6857370683299e-05,3.9333,6.1333
0.09375,-3.662095624673839e-05,-7.814321943083847e-06,-8.790680499427786e-06,-2.0996514750896473e-05,3.9333,6.1333
0.09765625,-3.4181412153047995e-05,-1.2696114724803542e-05,-1.4162004856488898e-05,-2.4904653570611125e-05,3.9333,6.1333
0.1015625,-3.515777070939193e-05,-3.027597792767224e-05,-3.95527365101091e-05,-3.8576377953765166e-05,3.9333,6.1333
0.10546875,-2.92969147769894e-05,-2.6367839107957583e-05,-3.515777070939193e-05,-4.1505453622796976e-05,3.9333,6.1333
0.109375,-2.783372923964294e-05,-1.3672473281147482e-05,-3.760001939742123e-05,-4.19922806037995e-05,3.9333,6.1333
0.11328125,-3.4181412153047995e-05,-1.6114721969176776e-05,-3.7110487822079805e-05,-3.95527365101091e-05,3.9333,6.1333
0.1171875,-4.0529095066453046e-05,-1.1719756168459604e-05,-2.4904653570611125e-05,-3.662095624673839e-05,3.9333,6.1333
0.12109375,-4.3458170735484856e-05,-2.588101212695506e-05,-3.760001939742123e-05,-3.5644597690394444e-05,3.9333,6.1333
0.125,-4.19922806037995e-05,-3.2228695040360115e-05,-4.19922806037995e-05,-3.4181412153047995e-05,3.9333,6.1333
0.12890625,-3.662095624673839e-05,-2.0020156194552533e-05,-2.92969147769894e-05,-3.369188057770657e-05,3.9333,6.1333
0.1328125,-2.832055622064546e-05,-8.790680499427786e-06,-3.173916346501869e-05,-3.662095624673839e-05,3.9333,6.1333
0.13671875,-3.125233648401618e-05,-1.855697065720607e-05,-3.7110487822079805e-05,-4.394770231082628e-05,3.9333,6.1333
0.140625,-3.613412926573586e-05,-1.4162004856488898e-05,-3.466823913405051e-05,-3.808684637842374e-05,3.9333,6.1333
0.14453125,-3.515777070939193e-05,-2.3928295014267185e-05,-3.613412926573586e-05,-3.0762804908674754e-05,3.9333,6.1333
0.1484375,-4.0529095066453046e-05,-4.3458170735484856e-05,-3.027597792767224e-05,-2.832055622064546e-05,3.9333,6.1333
0.15234375,-3.8576377953765166e-05,-2.050968776989395e-05,-3.2228695040360115e-05,-3.320505359670405e-05,3.9333,6.1333
0.15625,-3.320505359670405e-05,-2.0996514750896473e-05,-3.173916346501869e-05,-3.808684637842374e-05,3.9333,6.1333
0.16015625,-3.4181412153047995e-05,-2.2949231863584342e-05,-2.9786446352330818e-05,-3.466823913405051e-05,3.9333,6.1333
0.1640625,-2.92969147769894e-05,-1.5138363412832838e-05,-3.760001939742123e-05,-3.662095624673839e-05,3.9333,6.1333
0.16796875,-2.783372923964294e-05,-1.0253866036774248e-05,-2.5391480551613647e-05,-3.95527365101091e-05,3.9333,6.1333
0.171875,-3.271552202136263e-05,-2.148604632623789e-05,-3.4181412153047995e-05,-3.320505359670405e-05,3.9333,6.1333
0.17578125,-3.4181412153047995e-05,-3.613412926573586e-05,-3.662095624673839e-05,-2.9786446352330818e-05,3.9333,6.1333
0.1796875,-3.466823913405051e-05,-2.4415121995269707e-05,-3.613412926573586e-05,-3.173916346501869e-05,3.9333,6.1333
0.18359375,-3.271552202136263e-05,-2.6367839107957583e-05,-4.9805853648889906e-05,-3.320505359670405e-05,3.9333,6.1333
0.1875,-2.588101212695506e-05,-2.4904653570611125e-05,-3.515777070939193e-05,-3.515777070939193e-05,3.9333,6.1333
0.19140625,-2.1972873307240406e-05,-2.0996514750896473e-05,-3.271552202136263e-05,-3.515777070939193e-05,3.9333,6.1333
0.1953125,-2.5391480551613647e-05,-3.369188057770657e-05,-4.9805853648889906e-05,-3.271552202136263e-05,3.9333,6.1333
0.19921875,-2.832055622064546e-05,-3.5644597690394444e-05,-4.6876777979858097e-05,-2.9786446352330818e-05,3.9333,6.1333
0.203125,-2.9786446352330818e-05,-1.953332921355001e-05,-3.662095624673839e-05,-2.92969147769894e-05,3.9333,6.1333
0.20703125,-3.369188057770657e-05,-1.1719756168459604e-05,-3.027597792767224e-05,-2.783372923964294e-05,3.9333,6.1333
0.2109375,-3.4181412153047995e-05,-2.92969147769894e-05,-3.320505359670405e-05,-3.173916346501869e-05,3.9333,6.1333
0.21484375,-3.4181412153047995e-05,-2.3928295014267185e-05,-2.2462404882581827e-05,-3.369188057770657e-05,3.9333,6.1333
0.21875,-3.466823913405051e-05,-8.790680499427786e-06,-1.7091080525520716e-05,-2.832055622064546e-05,3.9333,6.1333
0.22265625,-2.588101212695506e-05,-1.0253866036774248e-05,-2.783372923964294e-05,-3.271552202136263e-05,3.9333,6.1333
0.2265625,-2.0996514750896473e-05,-3.0762804908674754e-05,-3.7110487822079805e-05,-3.369188057770657e-05,3.9333,6.1333
0.23046875,-2.7344197664301516e-05,-3.320505359670405e-05,-4.6876777979858097e-05,-3.027597792767224e-05,3.9333,6.1333
0.234375,-2.6367839107957583e-05,-2.050968776989395e-05,-3.320505359670405e-05,-3.0762804908674754e-05,3.9333,6.1333
0.23828125,-2.6857370683299e-05,-2.6857370683299e-05,-3.320505359670405e-05,-3.271552202136263e-05,3.9333,6.1333
0.2421875,-3.613412926573586e-05,-3.466823913405051e-05,-3.4181412153047995e-05,-3.4181412153047995e-05,3.9333,6.1333
0.24609375,-3.4181412153047995e-05,-3.271552202136263e-05,-2.6367839107957583e-05,-4.0529095066453046e-05,3.9333,6.1333
0.25,-3.271552202136263e-05,-3.760001939742123e-05,-1.8067439081864656e-05,-4.248181217914091e-05,3.9333,6.1333
0.25390625,-3.173916346501869e-05,-3.320505359670405e-05,-2.2462404882581827e-05,-3.7110487822079805e-05,3.9333,6.1333
0.2578125,-2.6367839107957583e-05,-2.5391480551613647e-05,-4.9805853648889906e-05,-4.394770231082628e-05,3.9333,6.1333
0.26171875,-3.613412926573586e-05,-3.613412926573586e-05,-4.6876777979858097e-05,-4.1505453622796976e-05,3.9333,6.1333
0.265625,-4.492406086717022e-05,-3.173916346501869e-05,-3.125233648401618e-05,-3.369188057770657e-05,3.9333,6.1333
0.26953125,-3.613412926573586e-05,-1.4162004856488898e-05,-2.148604632623789e-05,-3.369188057770657e-05,3.9333,6.1333
0.2734375,-3.125233648401618e-05,-2.4904653570611125e-05,-2.050968776989395e-05,-3.2228695040360115e-05,3.9333,6.1333
0.27734375,-2.783372923964294e-05,-3.515777070939193e-05,-4.101592204745556e-05,-3.760001939742123e-05,3.9333,6.1333
0.28125,-2.4415121995269707e-05,-3.027597792767224e-05,-3.515777070939193e-05,-4.19922806037995e-05,3.9333,6.1333
0.28515625,-2.2949231863584342e-05,-3.2228695040360115e-05,-2.7344197664301516e-05,-4.3458170735484856e-05,3.9333,6.1333
0.2890625,-1.953332921355001e-05,-2.783372923964294e-05,-2.9786446352330818e-05,-4.1505453622796976e-05,3.9333,6.1333
0.29296875,-2.6857370683299e-05,-1.1232929187457088e-05,-2.2462404882581827e-05,-3.369188057770657e-05,3.9333,6.1333
0.296875,-3.369188057770657e-05,-1.318564630014496e-05,-2.3438763438925767e-05,-3.369188057770657e-05,3.9333,6.1333
0.30078125,-3.125233648401618e-05,-2.92969147769894e-05,-2.2949231863584342e-05,-3.271552202136263e-05,3.9333,6.1333
0.3046875,-2.9786446352330818e-05,-1.855697065720607e-05,-2.588101212695506e-05,-2.9786446352330818e-05,3.9333,6.1333
0.30859375,-2.6857370683299e-05,-2.7344197664301516e-05,-3.271552202136263e-05,-3.7110487822079805e-05,3.9333,6.1333
