timestamp,TP9,AF7,AF8,TP10,Valence,Arousal
0.0,-5.66396914381628e-05,-3.85694505989166e-05,-3.368916657663846e-05,-2.6359319145494794e-05,7.0,5.9333
0.00390625,-6.444060875562679e-05,-3.5140061826504906e-05,-3.123960316777294e-05,-3.270934121309221e-05,7.0,5.9333
0.0078125,-6.395069607385364e-05,-3.9059363280689696e-05,-4.0020345848783104e-05,-3.0259777804226757e-05,7.0,5.9333
0.01171875,-5.7600674006256214e-05,-4.2959821939421656e-05,-4.0020345848783104e-05,-2.5869406463721644e-05,7.0,5.9333
0.015625,-4.442955998474099e-05,-3.709971255359733e-05,-3.5629974508277995e-05,-2.9769865122453665e-05,7.0,5.9333
0.01953125,-4.100017121232929e-05,-5.3700215347524193e-05,-4.930984400701913e-05,-3.6119887190051084e-05,7.0,5.9333
0.0234375,-4.442955998474099e-05,-5.125065193865873e-05,-5.4190128029297336e-05,-3.9059363280689696e-05,7.0,5.9333
0.02734375,-3.660979987182423e-05,-2.147903512321659e-05,-4.0020345848783104e-05,-4.3939647302967894e-05,7.0,5.9333
0.03125,-3.123960316777294e-05,-2.6359319145494794e-05,-2.9769865122453665e-05,-4.3939647302967894e-05,7.0,5.9333
0.03515625,-4.05102585305562e-05,-1.4149187692072928e-05,-1.1228554396887147e-05,-3.4179079258411546e-05,7.0,5.9333
0.0390625,-5.4190128029297336e-05,-3.9549275962462785e-05,-3.270934121309221e-05,-2.0009297077897314e-05,7.0,5.9333
0.04296875,-5.077958205233841e-05,-9.521089373006788e-05,-7.763056557259477e-05,-1.5618925737392202e-05,7.0,5.9333
0.046875,-4.100017121232929e-05,-9.813152702525365e-05,-8.349067495841915e-05,-1.7088663782711535e-05,7.0,5.9333
0.05078125,-3.5629974508277995e-05,-7.957137350423436e-05,-7.324019423208972e-05,-2.488958110017546e-05,7.0,5.9333
0.0546875,-3.5140061826504906e-05,-7.861039093614096e-05,-6.591034680094606e-05,-2.0009297077897314e-05,7.0,5.9333
0.05859375,-5.3700215347524193e-05,-8.251084959487298e-05,-6.883098009613183e-05,-1.9029471714351076e-05,7.0,5.9333
0.0625,-5.272038998397801e-05,-7.91003036179141e-05,-6.786999752803843e-05,-2.7829057190814066e-05,7.0,5.9333
0.06640625,-4.588045523460744e-05,-8.349067495841915e-05,-6.834106741435874e-05,-2.0989122441443498e-05,7.0,5.9333
0.0703125,-6.395069607385364e-05,-8.592139557183185e-05,-6.493052143739987e-05,-1.0738641715114055e-05,7.0,5.9333
0.07421875,-8.690122093537802e-05,-7.469108948195622e-05,-5.516995339284352e-05,-7.79916562447545e-06,7.0,5.9333
0.078125,-7.861039093614096e-05,-6.200988814221409e-05,-4.8819931325246044e-05,-1.3659275010299836e-05,7.0,5.9333
0.08203125,-4.6860280598153676e-05,-6.346078339208054e-05,-4.6370367916380526e-05,-5.858357692835881e-06,7.0,5.9333
0.0859375,-3.9549275962462785e-05,-6.981080545967802e-05,-5.6149778756389704e-05,-1.610883841916535e-05,7.0,5.9333
0.08984375,-3.758962523537042e-05,-6.738008484626533e-05,-5.3700215347524193e-05,-3.319925389486531e-05,7.0,5.9333
0.09375,-3.807953791714351e-05,-5.077958205233841e-05,-4.588045523460744e-05,-2.9769865122453665e-05,7.0,5.9333
0.09765625,-4.8330018643472955e-05,-4.05102585305562e-05,-4.0020345848783104e-05,-2.488958110017546e-05,7.0,5.9333
0.1015625,-5.077958205233841e-05,-4.540938534828717e-05,-3.5140061826504906e-05,-2.0499209759670406e-05,7.0,5.9333
0.10546875,-3.5629974508277995e-05,-4.540938534828717e-05,-3.660979987182423e-05,-3.0259777804226757e-05,7.0,5.9333
0.109375,-2.439966841840237e-05,-4.588045523460744e-05,-4.8819931325246044e-05,-3.9059363280689696e-05,7.0,5.9333
0.11328125,-2.0989122441443498e-05,-4.930984400701913e-05,-4.784010596169986e-05,-2.5869406463721644e-05,7.0,5.9333
0.1171875,-3.270934121309221e-05,-5.66396914381628e-05,-4.784010596169986e-05,-1.8049646350804892e-05,7.0,5.9333
0.12109375,-4.735019327992677e-05,-5.2230477302204914e-05,-4.442955998474099e-05,-1.6598751100938443e-05,7.0,5.9333
0.125,-5.077958205233841e-05,-4.05102585305562e-05,-4.0020345848783104e-05,-2.6359319145494794e-05,7.0,5.9333
0.12890625,-3.709971255359733e-05,-3.758962523537042e-05,-3.465014914473181e-05,-2.9279952440680515e-05,7.0,5.9333
0.1328125,-1.9029471714351076e-05,-3.4179079258411546e-05,-2.9279952440680515e-05,-2.2458860486762774e-05,7.0,5.9333
0.13671875,-1.6598751100938443e-05,-3.4179079258411546e-05,-2.9279952440680515e-05,-2.3419843054856185e-05,7.0,5.9333
0.140625,-2.488958110017546e-05,-4.149008389410238e-05,-1.7088663782711535e-05,-1.9519384396124222e-05,7.0,5.9333
0.14453125,-4.784010596169986e-05,-3.368916657663846e-05,-2.7829057190814066e-05,-1.9519384396124222e-05,7.0,5.9333
0.1484375,-5.7600674006256214e-05,-3.0749690485999845e-05,-3.709971255359733e-05,-2.5869406463721644e-05,7.0,5.9333
0.15234375,-5.3700215347524193e-05,-3.465014914473181e-05,-2.6849231827267886e-05,-3.5140061826504906e-05,7.0,5.9333
0.15625,-4.3939647302967894e-05,-3.270934121309221e-05,-2.3909755736629277e-05,-3.0749690485999845e-05,7.0,5.9333
0.16015625,-1.8539559032577984e-05,-4.3939647302967894e-05,-2.9279952440680515e-05,-2.147903512321659e-05,7.0,5.9333
0.1640625,-9.758816351567844e-06,-4.784010596169986e-05,-4.05102585305562e-05,-2.1968947804989682e-05,7.0,5.9333
0.16796875,-3.0259777804226757e-05,-4.8330018643472955e-05,-4.540938534828717e-05,-2.6359319145494794e-05,7.0,5.9333
0.171875,-4.8330018643472955e-05,-4.588045523460744e-05,-4.2959821939421656e-05,-3.0259777804226757e-05,7.0,5.9333
0.17578125,-4.930984400701913e-05,-4.8819931325246044e-05,-3.123960316777294e-05,-2.7829057190814066e-05,7.0,5.9333
0.1796875,-3.85694505989166e-05,-4.930984400701913e-05,-2.7829057190814066e-05,-2.0989122441443498e-05,7.0,5.9333
0.18359375,-3.709971255359733e-05,-3.2219428531319124e-05,-3.660979987182423e-05,-2.831896987258716e-05,7.0,5.9333
0.1875,-3.9549275962462785e-05,-2.9279952440680515e-05,-2.8790039758907423e-05,-4.344973462119475e-05,7.0,5.9333
0.19140625,-3.758962523537042e-05,-3.319925389486531e-05,-3.709971255359733e-05,-4.442955998474099e-05,7.0,5.9333
0.1953125,-3.5629974508277995e-05,-2.9769865122453665e-05,-4.540938534828717e-05,-3.319925389486531e-05,7.0,5.9333
0.19921875,-3.0749690485999845e-05,-2.9769865122453665e-05,-3.9549275962462785e-05,-3.270934121309221e-05,7.0,5.9333
0.203125,-2.7339144509040978e-05,-3.172951584954603e-05,-3.85694505989166e-05,-3.319925389486531e-05,7.0,5.9333
0.20703125,-4.491947266651408e-05,-3.0259777804226757e-05,-2.9769865122453665e-05,-2.147903512321659e-05,7.0,5.9333
0.2109375,-5.9070412051575486e-05,-3.123960316777294e-05,-3.270934121309221e-05,-1.75597336690318e-05,7.0,5.9333
0.21484375,-4.6860280598153676e-05,-2.7339144509040978e-05,-3.9549275962462785e-05,-2.147903512321659e-05,7.0,5.9333
0.21875,-4.979975668879223e-05,-3.5140061826504906e-05,-3.709971255359733e-05,-2.7339144509040978e-05,7.0,5.9333
0.22265625,-5.272038998397801e-05,-4.3939647302967894e-05,-2.8790039758907423e-05,-2.8790039758907423e-05,7.0,5.9333
0.2265625,-3.5629974508277995e-05,-3.9549275962462785e-05,-2.439966841840237e-05,-3.0749690485999845e-05,7.0,5.9333
0.23046875,-1.4149187692072928e-05,-3.6119887190051084e-05,-2.7339144509040978e-05,-2.7339144509040978e-05,7.0,5.9333
0.234375,-3.408794283970394e-06,-2.2458860486762774e-05,-2.9769865122453665e-05,-2.0499209759670406e-05,7.0,5.9333
0.23828125,-9.758816351567844e-06,-1.8539559032577984e-05,-3.0749690485999845e-05,-2.147903512321659e-05,7.0,5.9333
0.2421875,-2.0009297077897314e-05,-2.2458860486762774e-05,-3.4179079258411546e-05,-2.3909755736629277e-05,7.0,5.9333
0.24609375,-4.149008389410238e-05,-2.3419843054856185e-05,-3.123960316777294e-05,-2.3909755736629277e-05,7.0,5.9333
0.25,-4.197999657587547e-05,-2.6849231827267886e-05,-2.5379493781948552e-05,-2.0499209759670406e-05,7.0,5.9333
0.25390625,-2.6359319145494794e-05,-3.270934121309221e-05,-2.9769865122453665e-05,-2.9769865122453665e-05,7.0,5.9333
0.2578125,-2.9769865122453665e-05,-3.9549275962462785e-05,-3.2219428531319124e-05,-4.442955998474099e-05,7.0,5.9333
0.26171875,-2.7829057190814066e-05,-3.709971255359733e-05,-3.4179079258411546e-05,-4.344973462119475e-05,7.0,5.9333
0.265625,-2.9769865122453665e-05,-3.368916657663846e-05,-2.6849231827267886e-05,-3.465014914473181e-05,7.0,5.9333
0.26953125,-3.660979987182423e-05,-2.6359319145494794e-05,-1.1699624283207412e-05,-2.439966841840237e-05,7.0,5.9333
0.2734375,-4.2959821939421656e-05,-2.5379493781948552e-05,-2.2458860486762774e-05,-2.2948773168535866e-05,7.0,5.9333
0.27734375,-5.3700215347524193e-05,-3.9059363280689696e-05,-3.319925389486531e-05,-2.3909755736629277e-05,7.0,5.9333
0.28125,-3.9549275962462785e-05,-3.9059363280689696e-05,-3.319925389486531e-05,-2.2948773168535866e-05,7.0,5.9333
0.28515625,-2.6849231827267886e-05,-3.172951584954603e-05,-3.465014914473181e-05,-2.8790039758907423e-05,7.0,5.9333
0.2890625,-4.2959821939421656e-05,-4.05102585305562e-05,-3.9549275962462785e-05,-3.2219428531319124e-05,7.0,5.9333
0.29296875,-4.0020345848783104e-05,-3.465014914473181e-05,-3.807953791714351e-05,-3.2219428531319124e-05,7.0,5.9333
0.296875,-3.5140061826504906e-05,-2.0989122441443498e-05,-2.2948773168535866e-05,-2.5379493781948552e-05,7.0,5.9333
0.30078125,-4.3939647302967894e-05,-4.442955998474099e-05,-3.0749690485999845e-05,-2.0989122441443498e-05,7.0,5.9333
0.3046875,-3.758962523537042e-05,-7.371126411840998e-05,-6.248095802853436e-05,-2.2458860486762774e-05,7.0,5.9333
0.30859375,-3.85694505989166e-05,-7.177045618677045e-05,-5.9560324733348575e-05,-2.0499209759670406e-05,7.0,5.9333
0.3125,-5.0289669370565316e-05,-6.1030062778667854e-05,-3.758962523537042e-05,-2.0009297077897314e-05,7.0,5.9333
0.31640625,-5.0289669370565316e-05,-6.005023741512167e-05,-5.4190128029297336e-05,-2.147903512321659e-05,7.0,5.9333
0.3203125,-4.735019327992677e-05,-4.491947266651408e-05,-6.054015009689476e-05,-2.488958110017546e-05,7.0,5.9333
0.32421875,-5.66396914381628e-05,-4.930984400701913e-05,-4.540938534828717e-05,-2.439966841840237e-05,7.0,5.9333
0.328125,-7.12805435049973e-05,-6.054015009689476e-05,-4.246990925764857e-05,-2.7339144509040978e-05,7.0,5.9333
0.33203125,-6.981080545967802e-05,-5.0289669370565316e-05,-4.442955998474099e-05,-2.9279952440680515e-05,7.0,5.9333
0.3359375,-5.2230477302204914e-05,-5.516995339284352e-05,-5.0289669370565316e-05,-2.6359319145494794e-05,7.0,5.9333
0.33984375,-3.2219428531319124e-05,-5.3700215347524193e-05,-5.0289669370565316e-05,-2.5869406463721644e-05,7.0,5.9333
0.34375,-2.2458860486762774e-05,-4.930984400701913e-05,-4.100017121232929e-05,-2.0009297077897314e-05,7.0,5.9333
0.34765625,-2.7339144509040978e-05,-3.4179079258411546e-05,-3.0259777804226757e-05,-2.3419843054856185e-05,7.0,5.9333
